Hand name,Company name,Link to hand page,# of Fingers,# of Actuators,Photo filename,Text description,Date updated,Notes
Shadow Dexterous Hands,Shadow Robot,https://www.shadowrobot.com/dexterous-hand-series/,5,20,shadow-dexterous-hand.png,20 brushed DC motors. Tendon-driven. Shadow Tactile Sensing (STF) with magnets and 3-axis Hall effect sensors on index and thumb (default). Motors stored in the hand base; tendons prone to wear with extensive use. Full ROS integration.,Nov 2025,"Given that we have it, is it backdrivable?"
DEX-EE,Shadow Robot,https://www.shadowrobot.com/dex-ee/,3,15,shadow_dex_ee.jpg,15 DC motors. Tendon-driven. Distal tactile sensors (magnets and 3-axis Hall effect) with optional middle and proximal sensors. Modular finger and sensor design; motors stored in finger bases. Backdrivable. Full ROS integration.,Nov 2025,
XHand1,RobotEra,https://www.robotera.com/en/goods1/4.html,5,12,xhand1.png,"12 motors. Quasi-Direct Drive (QDD). Tactile arrays (>100 points) on each finger. Thumb can be repositioned to pinky location for enhanced grip. Backdrivable. Supports Linux, SDK, and ROS.",Nov 2025,
Allegro Hand V5(4F Plus),Wonik Robotics,https://www.allegrohand.com/v5-4fplus,4,16,allegrohand_v5.jpeg,16 DC motors. Gear-driven. Omnidirectional capacitive pressure-sensitive tactile sensors. Interchangeable fingertips for specialized grips. ROS support.,Nov 2025,
Allegro Hand V4,Wonik Robotics,https://www.allegrohand.com/v4,4,16,allegrohand_v4.png,"16 DC motors. Gear-driven. No built-in tactile sensing. Widely used for dexterity research. Supports Linux, Windows, and ROS.",Nov 2025,"Given that we have it, is it backdrivable?"
SVH,Schunk,https://schunk.com/us/en/gripping-systems/special-gripper/svh/c/PGR_3161,5,9,SVH.png,9 DC motors. Gear-driven (and spindle drives). No built-in tactile sensing. Features elastic gripping surfaces; power and control electronics integrated in the wrist. Supports ROS and Raspberry Pi.,Nov 2025,Mentions nine drive motors in the operating manual. The function page says there is a servo motor connected to a spindle.
Ability Hand,Psyonic,https://www.psyonic.io/robots,5,6,abilityhand.png,6 brushless DC motors. Gear-driven. Tactile sensing via a flexible PCB and three barometric pressure sensors cast in silicone. Used in prosthesis and robotics; utilizes lightweight carbon fiber.,Nov 2025,
ProHand 1.0,Proception AI,https://www.proception.ai/hand,5,?,prohand.png,Unspecified number and type of actuators. Tendon-driven. Tactile sensing (type unspecified). The specifications are not finalized; planned to release in 2028.,Nov 2025,
DM-Hand1,Daimon Robotics,https://www.dmrobot.com/en/products/p2/dm-hand1.html,5,6,dmhand1.png,6 DC motors. Gear-driven. Vision-based tactile sensors. The thin sensor profile reduces finger thickness and improves flexibility.,Nov 2025,
COVVI Robotic Hand,Covvi,https://www.covvi-robotics.com/robotic-hand/,5,6,covvirobotichand.png,6 actuators (unspecified). Gear-driven. Force Sensing Resistor (FSR) in all fingertips. The index finger is touchscreen compatible and features a serrated fingertip texture for improved grip. Adapted from COVVI Prosthetic Hand. Compatible with ROS2 and Python ECI API.,Nov 2025,Actuator type not specified
IH2 Azzurra,Prensilia,https://www.prensilia.com/ih2-azzurra-hand/,5,5,ih2azzurra.png,5 brushed DC motors. Tendon-driven (with adjustable Bowden cable transmission). No built-in tactile sensing. Includes motor force/position sensors and optional tendon tension sensors.,Nov 2025,
Mia Hand R&D,Prensilia,https://www.prensilia.com/mia-hand/,5,3,miahand.png,"3 motors. Geneva mechanism drive. Optional fingertip force sensors. Available in three variants: prosthesis, industry, and R&D. Compatible with ROS.",Nov 2025,
SoftHand Industry,QbRobotics,https://qbrobotics.com/product/qb-softhand-industry/,5,1,softhandindustry.png,1 DC motor. Tendon-driven. No built-in tactile sensing. The fingers open and close together in one synergy; features interchangeable gloves. Compatible with ROS & ROS2.,Nov 2025,
SoftHand2 Research,QbRobotics,https://qbrobotics.com/product/qb-softhand-2-research/,5,2,softhand2research.png,"2 DC motors. Tendon-driven. No built-in tactile sensing. Features dislocatable, self-healing finger joints and interchangeable gloves. Compatible with ROS and ROS2.",Nov 2025,"It does not specifically state tendon-driven but given that SoftHand is tendon driven, I have assumed tendon-driven"
DG-5F,Tesollo,https://en.tesollo.com/dg-5f/,5,20,dg5f.png,20 brushless DC motors. Direct-driven. Optional fingertip Force/Torque (F/T) sensors. Optional shorter wrist. Suitable for research and industrial applications. Compatible with ROS2.,Nov 2025,Claims each DoF (20) is independently driven but doesn't explicitly say if there are 20 motors.
DG-4F,Tesollo,https://en.tesollo.com/dg-4f/,4,?,dg4f.png,"Unspecified number of DC motors. Unspecified transmission type. Optional fingertip Force/Torque (F/T) sensors. Adaptive gripping capability: fingers can shift to form right hand, left hand, or gripper.",Nov 2025,Unsure about number of actuators.
DG-3F-M,Tesollo,https://en.tesollo.com/dg-3f-m/,3,?,dg3fm.png,Unspecified number of brushless DC motors. Unspecified transmission type. Optional fingertip Force/Torque (F/T) sensors. Features a fully modular structure. Supports C/C++ and an SDK.,Nov 2025,Unsure about number of actuators.
DG-3F-B,Tesollo,https://en.tesollo.com/dg-3f-b/,3,?,dg3fb.png,Unspecified number of brushless DC motors. Unspecified transmission type. No built-in tactile sensing. Offers optional suction-type fingertips.,Nov 2025,Unsure about number of actuators.
RH8D,Seed Robotics,https://www.seedrobotics.com/rh8d-adult-robot-hand,5,8,RH8D.png,8 smart actuators (type unspecified). Tendon-driven with Dyneema (Kevlar) tendons. Optional FTS pressure sensors (3 or 1 axis) and optional capacitive pads on the back of the palm. Features fingers with magnetic detachment. Open source ROS package.,Nov 2025,
RH6D,Seed Robotics,https://www.seedrobotics.com/rh5d-rh7d-childsize-robot-hand,4,6,RH6D.png,6 smart actuators (type unspecified). Tendon-driven with Dyneema (Kevlar) tendons. No built-in tactile sensing. Features a Time-of-flight (ToF) distance sensor in the palm and optional capacitive pads on the back of the palm. Child-sized hand.,Nov 2025,
RH4D,Seed Robotics,https://www.seedrobotics.com/rh4d-advanced-manipulator,3,4,RH4D.png,4 smart actuators (type unspecified). Tendon-driven with Dyneema (Kevlar) tendons. No built-in tactile sensing. Time-of-flight (ToF) distance sensor in the palm and optional capacitive pads on the back of the palm.,Nov 2025,
Sharpa Dexterous Hands,Sharpa,https://www.sharpa.com/,5,?,Sharpa.png,"Unspecified number and type of actuators. Unspecified transmission type. Dynamic Tactile Array (DTA) capable of detecting up to 30N. Lifespan of over 1 million grip cycles. Backdrivable. Supports ROS, Linux, C++, Python, and Windows.",Nov 2025,The hand claims 22 active DoF
Aidin Robotic Hand,Aidin Robotics,https://www.aidinrobotics.co.kr/en/robotic-hand,5,?,Aidin.png,Unspecified number and type of actuators. Unspecified transmission type. 6-axis Force/Torque (F/T) sensors on each fingertip. For research use only.,Nov 2025,
The Dexterous Hands RH56BFX/DFX,Inspire-Robots,https://inspire-robots.store/collections/all/products/dexterous-hand-rh56dfx-series?variant=42723202072820,5,6,DexterousHandsDFX.png,6 miniature linear servo actuators. Linear-drive. Integrated force and tactile sensors. Two variants: BFX (greater speed) and DFX (greater grip force). Supports ROS.,Nov 2025,
The Dexterous Hands RH56DFTP,Inspire-Robots,https://inspire-robots.store/products/the-dexterous-hands-rh56dftp?variant=45933596246260,5,6,DexterousHandsDFTP.png,6 miniature linear servo actuators. Linear-drive. 17 tactile sensors and 6 pressure sensors built-in. Fingertips can exert up to 3 kg.,Nov 2025,
BarrettHand,Barrett,https://barrett.com/barretthand,3,4,BarrettHand.png,"4 brushless DC servo motors. Worm-drive and cable drive transmission. Optional torque and tactile sensing in fingertips; features a perception palm sensor that uses cameras, lasers, LED, and infrared to assist with object localization. Modular finger design.",Nov 2025,
uHandPi,Hiwonder,https://www.hiwonder.com/products/uhandpi?variant=40961372618839,5,6,uHandPi.png,"6 servo motors. Linkage-driven. No built-in tactile sensing. Utilizes camera for AI image recognition, finger-guessing, etc. Integrated with Raspberry Pi 5.",Nov 2025,
Agile Hand,Agile Robots,https://www.agile-robots.com/en/robotic-solutions/agile-hand,5,?,agilehand.png,"Unspecified number and type of actuators. Unspecified transmission type. Optional tactile sensing. Features a modular finger design and optional independent thumb actuator. Compatible with C++, Python, and ROS.",Nov 2025,
F.02 Humanoid Hand,Figure AI,https://www.figure.ai/,5,?,f02hand.png,Unspecified number and type of actuators. Unspecified transmission type. Unspecified tactile sensing. Part of the Figure 02 humanoid robot.,Nov 2025,
Optimus Hand,Tesla,https://www.tesla.com/AI,5,?,optimushand.png,Unspecified number and type of actuators. Unspecified transmission type. Unspecified tactile sensing. Part of the Optimus humanoid robot.,Nov 2025,
Smart Hands,Roboworks,https://www.roboworks.net/store/p/smarthands,5,6,smarthands.png,6 micro linear servo motors. Linear-drive. 6 pressure sensors. Integrated with ROS (ROS2 Foxy).,Nov 2025,
Dex5-1P,Unitree,https://www.unitree.com/Dex5-1,5,?,dex5-1p.png,Unspecified number of DC motors. Gear-driven. 94 tactile sensors in total. Backdrivable. Features a modular finger design.,Nov 2025,"16 active DoF, I have been assuming that does not necessarily mean 16 motors."
Dex3-1,Unitree,https://www.unitree.com/Dex3-1,3,7,dex3-1.png,"7 micro brushless DC motors. 6 Direct-drive, 1 gear-driven. 33 tactile sensors on fingertips, finger phalanges, and palm. Compatible with Unitree G1 humanoid robot.",Nov 2025,
Clone Hand,Clone,https://clonerobotics.com/hand,5,?,clonehand.png,Artificial muscle fibers (Myofiber technology). Unspecified tactile sensing. Clone has not publicly disclosed detailed information on Myofiber.,Nov 2025,
Muscle v0,Daxo Robotics,https://daxo-robotics.com/,5,?,musclev0.png,"108 artificial muscle units. Unspecified number and type of actuators. Unspecified transmission type. Unspecified tactile sensing. Uses artificial muscles to achieve ""infinite"" degrees of freedom. A prototype.",Nov 2025,
GMH18 GEN3,PaXini,https://paxini.com/,5,?,gmh18.png,"Unspecified number and type of actuators. Hollow cup and Multi-link mechanism. Over 1000 ITPU multi-dimensional tactile sensing units covering the fingernails, fingertips, finger pads, and palm; featuring 15 types of tactile perception. Supports camera expansion on the palm and back of hand.",Nov 2025,
RO Hand,OY Motion,https://oymotion.com/en/product62/191,5,?,rohand.png,"Unspecified number and type of actuators. Unspecified transmission type. No built-in tactile sensing. Used in inspection robots, prosthetics, and research. Supports SDK, ROS, and ROS2.",Nov 2025,
DexHand021,DexRobot,https://www.dex-robot.com/en/productionDexhand,5,?,dexrobot_hand.png,"Unspecified number of motors. Tendon-driven. Equipped with position, force, and tactile sensors. Features independently replaceable fingers. Supports ROS and ROS2.",Nov 2025,
Atlas Gripper,Boston Dynamics,https://bostondynamics.com/atlas/,3,7,atlasgripper.png,7 actuators (type unspecified). Unspecified transmission type. Tactile sensors on fingertips and cameras in the palm. Feature an articulated thumb joint. Part of the Atlas humanoid robot.,Nov 2025,